GeneID	Expression
b0161	True
b1076	True
b1078	True
b1743	True
b1888	True
b1923	True
b2060	True
b2597	True
b4355	True
b1082	True
b0929	True
b1083	True
b1945	True
b1283	True
b4062	True
b1077	True
b0220	True
b1075	True
b2053	True
b4217	True
b1924	True
b4376	True
b1889	True
b1171	True
b1951	True
b2052	True
b1879	True
b1922	True
b1881	True
b3666	True
b2671	True
b2922	True
b1080	True
b1072	True
b2209	True
b1885	True
b3055	True
b0865	True
b0453	True
b0720	True
b3525	True
b1890	True
b4029	True
b3260	True
b1887	True
b1081	True
b2028	True
b2470	True
b2048	True
b1415	True
b0726	True
b3238	True
b0723	True
b4026	True
b0379	True
b2169	True
b1921	True
b2069	True
b1938	True
b1880	True
b2057	True
b0724	True
b1079	True
b1172	True
b0794	True
b2062	True
b1611	True
b1939	True
b1379	True
b1883	True
b2344	True
b2049	True
b1702	True
b3552	True
b0729	True
b3599	True
b1073	True
b0728	True
b2074	True
b2741	True
b2050	True
b1941	True
b4484	True
b2936	True
b4240	True
b0058	True
b1115	True
b1071	True
b0722	True
b2466	True
b0721	True
b1639	True
b0463	True
b0795	True
b1944	True
b3524	True
b2096	True
b2527	True
b0727	True
b2390	True
b3751	True
b2572	True
b1414	True
b2047	True
b3160	True
b2517	True
b1483	True
b2059	True
b1948	True
b3405	True
b1412	True
b2533	True
b3468	True
b3471	True
b1829	True
b3404	True
b2075	True
b1378	True
b1904	True
b2742	True
b4232	True
b1943	True
b4110	True
b2833	True
b2055	True
b3072	True
b4028	True
b3924	True
b0734	True
b0059	True
b3748	True
b2045	True
b1884	True
b4487	True
b0811	True
b2051	True
b1482	True
b4735	True
b3313	True
lysT	True
b3637	True
b3183	True
b3988	True
b4239	True
b3831	True
b2086	True
b1940	True
b1190	True
b3750	True
b0577	True
b3926	True
b4568	True
b1886	True
b2046	True
b1074	True
b0187	True
b3860	True
b1732	True
b2056	True
b3261	True
b1531	True
b4381	True
b0462	True
b1925	True
b0150	True
b4027	True
b0851	True
b0988	True
b2943	True
b0063	True
b2168	True
b3024	True
b3492	True
b1947	True
b2494	True
b3671	True
b2605	True
b2607	True
b2432	True
b3749	True
b1612	True
b1189	True
b3236	True
b3295	True
b3168	True
b0793	True
b1867	True
b2211	True
b0792	True
b3783	True
b3984	True
b0224	True
b1236	True
b3184	True
b0802	True
b1480	True
b1532	True
b2526	True
b0412	True
b2608	True
b4455	True
b2107	True
b1600	True
b4044	True
b3301	True
b1088	True
b3433	True
b3558	True
b3604	True
b2167	True
b0850	True
b1687	True
b4180	True
b0378	True
b2214	True
b1070	True
b1780	True
b4201	True
b3557	True
b2097	True
b2609	True
b2573	True
b3603	True
b3363	True
b3300	True
b1901	True
b1920	True
b3553	True
b3314	True
b3527	True
b2076	True
b3319	True
b0882	True
b2903	True
b1817	True
valT	True
lysZ	True
b1739	True
b2014	True
b2710	True
b1112	True
b4356	True
b4469	True
b3862	True
b1778	True
b1276	True
b3294	True
b4219	True
b2841	True
b3011	True
b1113	True
b1530	True
b2061	True
b3305	True
b3041	True
b2155	True
b3296	True
b3306	True
b0735	True
b2834	True
b4271	True
b3987	True
b3304	True
b3317	True
b2566	True
b1558	True
valZ	True
b0773	True
b0591	True
b4392	True
b0884	True
b4200	True
b3398	True
b3321	True
b3888	True
b0171	True
b2426	True
b3983	True
b1089	True
b3472	True
b2058	True
b0002	True
b0905	True
b1601	True
leuX	True
b1946	True
b3934	True
glmZ	True
b2095	True
b4204	True
b2699	True
b1937	True
b4171	True
glyV	True
